ROI Label,ROI Name,R,A,S,Hemisphere,Network,Region,Member,Color
121,17Networks_LH_ContA_Temp_1,-56,-62,0,LH,ContA,Temp,1,yellow
133,17Networks_LH_ContA_Cingm_1,-4,6,28,LH,ContA,Cingm,1,yellow
132,17Networks_LH_ContA_PFCl_3,-40,8,34,LH,ContA,PFCl,3,yellow
325,17Networks_RH_ContA_IPS_1,36,-70,46,RH,ContA,IPS,1,yellow
326,17Networks_RH_ContA_IPS_2,54,-32,52,RH,ContA,IPS,2,yellow
327,17Networks_RH_ContA_IPS_3,46,-44,46,RH,ContA,IPS,3,yellow
329,17Networks_RH_ContA_PFCd_1,24,10,58,RH,ContA,PFCd,1,yellow
330,17Networks_RH_ContA_PFCl_1,50,30,18,RH,ContA,PFCl,1,yellow
331,17Networks_RH_ContA_PFCl_2,48,18,24,RH,ContA,PFCl,2,yellow
332,17Networks_RH_ContA_PFCl_3,48,28,28,RH,ContA,PFCl,3,yellow
333,17Networks_RH_ContA_PFCl_4,48,8,24,RH,ContA,PFCl,4,yellow
328,17Networks_RH_ContA_IPS_4,36,-44,44,RH,ContA,IPS,4,yellow
335,17Networks_RH_ContA_Cingm_1,4,2,30,RH,ContA,Cingm,1,yellow
334,17Networks_RH_ContA_PFCl_5,38,10,34,RH,ContA,PFCl,5,yellow
123,17Networks_LH_ContA_IPS_2,-58,-42,46,LH,ContA,IPS,2,yellow
124,17Networks_LH_ContA_IPS_3,-34,-62,48,LH,ContA,IPS,3,yellow
125,17Networks_LH_ContA_IPS_4,-44,-42,46,LH,ContA,IPS,4,yellow
126,17Networks_LH_ContA_IPS_5,-34,-46,40,LH,ContA,IPS,5,yellow
122,17Networks_LH_ContA_IPS_1,-28,-74,42,LH,ContA,IPS,1,yellow
128,17Networks_LH_ContA_PFClv_1,-48,36,10,LH,ContA,PFClv,1,yellow
129,17Networks_LH_ContA_PFClv_2,-42,38,22,LH,ContA,PFClv,2,yellow
130,17Networks_LH_ContA_PFCl_1,-50,6,26,LH,ContA,PFCl,1,yellow
131,17Networks_LH_ContA_PFCl_2,-44,20,26,LH,ContA,PFCl,2,yellow
127,17Networks_LH_ContA_PFCd_1,-22,6,64,LH,ContA,PFCd,1,yellow
345,17Networks_RH_ContB_PFCld_4,34,16,56,RH,ContB,PFCld,4,yellow
135,17Networks_LH_ContB_Temp_2,-60,-48,-10,LH,ContB,Temp,2,yellow
136,17Networks_LH_ContB_IPL_1,-48,-60,46,LH,ContB,IPL,1,yellow
137,17Networks_LH_ContB_IPL_2,-54,-50,44,LH,ContB,IPL,2,yellow
138,17Networks_LH_ContB_IPL_3,-42,-52,48,LH,ContB,IPL,3,yellow
139,17Networks_LH_ContB_PFCd_1,-30,14,58,LH,ContB,PFCd,1,yellow
140,17Networks_LH_ContB_PFClv_1,-42,48,-6,LH,ContB,PFClv,1,yellow
141,17Networks_LH_ContB_PFClv_2,-28,58,0,LH,ContB,PFClv,2,yellow
142,17Networks_LH_ContB_PFClv_3,-28,56,12,LH,ContB,PFClv,3,yellow
143,17Networks_LH_ContB_PFCmp_1,-4,28,48,LH,ContB,PFCmp,1,yellow
134,17Networks_LH_ContB_Temp_1,-60,-36,-18,LH,ContB,Temp,1,yellow
346,17Networks_RH_ContB_PFClv_1,36,38,-14,RH,ContB,PFClv,1,yellow
336,17Networks_RH_ContB_Temp_1,62,-28,-20,RH,ContB,Temp,1,yellow
344,17Networks_RH_ContB_PFCld_3,42,6,50,RH,ContB,PFCld,3,yellow
343,17Networks_RH_ContB_PFCld_2,44,18,44,RH,ContB,PFCld,2,yellow
342,17Networks_RH_ContB_PFCld_1,38,34,38,RH,ContB,PFCld,1,yellow
341,17Networks_RH_ContB_IPL_4,42,-56,48,RH,ContB,IPL,4,yellow
340,17Networks_RH_ContB_IPL_3,56,-40,48,RH,ContB,IPL,3,yellow
339,17Networks_RH_ContB_IPL_2,54,-52,44,RH,ContB,IPL,2,yellow
338,17Networks_RH_ContB_IPL_1,56,-46,32,RH,ContB,IPL,1,yellow
337,17Networks_RH_ContB_Temp_2,64,-42,-10,RH,ContB,Temp,2,yellow
347,17Networks_RH_ContB_PFClv_2,28,54,-14,RH,ContB,PFClv,2,yellow
348,17Networks_RH_ContB_PFClv_3,42,50,-6,RH,ContB,PFClv,3,yellow
349,17Networks_RH_ContB_PFClv_4,28,60,2,RH,ContB,PFClv,4,yellow
350,17Networks_RH_ContB_PFCmp_1,4,28,48,RH,ContB,PFCmp,1,yellow
