ROI Label,ROI Name,R,A,S,Network,Color
177,7Networks_RH_Cont_pCun_1,14,-70,36,Cont,yellow
180,7Networks_RH_Cont_PFCmp_1,8,30,28,Cont,yellow
179,7Networks_RH_Cont_Cing_2,4,2,30,Cont,yellow
178,7Networks_RH_Cont_Cing_1,6,-24,30,Cont,yellow
176,7Networks_RH_Cont_PFCl_7,42,14,48,Cont,yellow
175,7Networks_RH_Cont_PFCl_6,40,34,38,Cont,yellow
174,7Networks_RH_Cont_PFCl_5,30,48,28,Cont,yellow
181,7Networks_RH_Cont_PFCmp_2,8,24,56,Cont,yellow
173,7Networks_RH_Cont_PFCl_4,46,24,26,Cont,yellow
171,7Networks_RH_Cont_PFCl_2,30,58,4,Cont,yellow
170,7Networks_RH_Cont_PFCl_1,36,46,-14,Cont,yellow
169,7Networks_RH_Cont_PFCv_1,34,22,-8,Cont,yellow
168,7Networks_RH_Cont_Temp_1,62,-42,-12,Cont,yellow
167,7Networks_RH_Cont_Par_3,38,-62,48,Cont,yellow
166,7Networks_RH_Cont_Par_2,52,-42,48,Cont,yellow
172,7Networks_RH_Cont_PFCl_3,44,44,10,Cont,yellow
165,7Networks_RH_Cont_Par_1,62,-38,36,Cont,yellow
73,7Networks_LH_Cont_Cing_2,-4,4,30,Cont,yellow
65,7Networks_LH_Cont_OFC_1,-32,42,-14,Cont,yellow
72,7Networks_LH_Cont_Cing_1,-4,-28,28,Cont,yellow
71,7Networks_LH_Cont_pCun_1,-10,-74,38,Cont,yellow
61,7Networks_LH_Cont_Par_1,-54,-50,46,Cont,yellow
70,7Networks_LH_Cont_PFCl_5,-42,6,44,Cont,yellow
62,7Networks_LH_Cont_Par_2,-34,-62,48,Cont,yellow
63,7Networks_LH_Cont_Par_3,-46,-42,46,Cont,yellow
64,7Networks_LH_Cont_Temp_1,-60,-42,-14,Cont,yellow
69,7Networks_LH_Cont_PFCl_4,-44,20,28,Cont,yellow
66,7Networks_LH_Cont_PFCl_1,-42,50,-6,Cont,yellow
67,7Networks_LH_Cont_PFCl_2,-28,58,8,Cont,yellow
68,7Networks_LH_Cont_PFCl_3,-42,40,16,Cont,yellow
85,7Networks_LH_Default_PFC_3,-46,30,-8,Default,red
82,7Networks_LH_Default_Par_4,-46,-66,38,Default,red
87,7Networks_LH_Default_PFC_5,-52,22,8,Default,red
86,7Networks_LH_Default_PFC_4,-12,64,-6,Default,red
84,7Networks_LH_Default_PFC_2,-6,36,-10,Default,red
83,7Networks_LH_Default_PFC_1,-34,20,-14,Default,red
100,7Networks_LH_Default_PHC_1,-26,-32,-18,Default,red
88,7Networks_LH_Default_PFC_6,-6,44,8,Default,red
80,7Networks_LH_Default_Par_2,-38,-80,32,Default,red
79,7Networks_LH_Default_Par_1,-48,-58,18,Default,red
78,7Networks_LH_Default_Temp_5,-58,-42,8,Default,red
77,7Networks_LH_Default_Temp_4,-58,-30,-4,Default,red
76,7Networks_LH_Default_Temp_3,-56,-6,-12,Default,red
81,7Networks_LH_Default_Par_3,-58,-54,28,Default,red
89,7Networks_LH_Default_PFC_7,-8,60,20,Default,red
99,7Networks_LH_Default_pCunPCC_4,-6,-54,42,Default,red
91,7Networks_LH_Default_PFC_9,-12,48,44,Default,red
198,7Networks_RH_Default_pCunPCC_1,12,-54,14,Default,red
197,7Networks_RH_Default_PFCdPFCm_7,24,24,54,Default,red
196,7Networks_RH_Default_PFCdPFCm_6,28,30,42,Default,red
195,7Networks_RH_Default_PFCdPFCm_5,16,46,44,Default,red
194,7Networks_RH_Default_PFCdPFCm_4,8,58,18,Default,red
193,7Networks_RH_Default_PFCdPFCm_3,6,28,16,Default,red
192,7Networks_RH_Default_PFCdPFCm_2,8,42,4,Default,red
